title,refs,facts,url
Retarder le budget à long terme de l’UE nuirait aux citoyens et aux entreprises,"[""2019/2833(RSP)""]","[""Appel aux \u00c9tats membres pour qu\u2019ils s\u2019accordent urgemment sur la position de n\u00e9gociation sur le budget \u00e0 long terme de l\u2019UE"", ""Le Parlement est pr\u00eat \u00e0 n\u00e9gocier depuis novembre 2018"", ""Les d\u00e9put\u00e9s exigent un plan d\u2019urgence pour minimiser les cons\u00e9quences pour les citoyens et les entreprises, des retards entrainant une interruption des financements \u00e0 partir de 2021""]",https://www.europarl.europa.eu/news/fr/press-room/20191007IPR63549/retarder-le-budget-a-long-terme-de-l-ue-nuirait-aux-citoyens-et-aux-entreprises
Le Parlement veut une Union européenne de la santé,"[""2020/2691(RSP)""]","[""Acc\u00e8s abordable pour tous aux vaccins et traitements contre le COVID-19"", ""Urgence de proc\u00e9der \u00e0 des tests de r\u00e9sistance pour les syst\u00e8mes de soins de sant\u00e9 dans les \u00c9tats membres"", ""Cr\u00e9er un m\u00e9canisme europ\u00e9en de r\u00e9action en mati\u00e8re sanitaire pour contrer d\u2019\u00e9ventuelles nouvelles pand\u00e9mies""]",https://www.europarl.europa.eu/news/fr/press-room/20200710IPR83101/le-parlement-veut-une-union-europeenne-de-la-sante
Sauver la biodiversité: le Parlement en faveur d’objectifs contraignants,"[""2019/2824(RSP)""]","[""10% minimum du prochain budget \u00e0 long terme de l\u2019UE devrait encourager la biodiversit\u00e9"", ""30% du territoire de l\u2019UE devrait \u00eatre compos\u00e9 de zones naturelles"", ""Des objectifs contraignants de r\u00e9duction des pesticides n\u00e9cessaires dans l\u2019UE""]",https://www.europarl.europa.eu/news/fr/press-room/20200109IPR69908/sauver-la-biodiversite-le-parlement-en-faveur-d-objectifs-contraignants
L'UE doit renforcer sa lutte contre les pratiques fiscales dommageables,"[""2020/2258(INI)""]","[""La l\u00e9gislation doit \u00eatre mise \u00e0 jour pour lutter contre les dispositifs fiscaux innovants"", ""Un seuil d\u2019activit\u00e9 minimum permettrait aux entreprises de payer des taxes dans certains territoires"", ""Une r\u00e9vision compl\u00e8te du Code de conduite de l\u2019UE dans le domaine de la fiscalit\u00e9 des entreprises""]",https://www.europarl.europa.eu/news/fr/press-room/20210930IPR13932/l-ue-doit-renforcer-sa-lutte-contre-les-pratiques-fiscales-dommageables
Lutte de l’UE contre la désinformation et l’ingérence électorale étrangère,"[""2019/2810(RSP)""]","[""L\u00e9gislation n\u00e9cessaire pour pr\u00e9venir les menaces hybrides"", ""998 cas de d\u00e9sinformation attribu\u00e9s \u00e0 la Russie cette ann\u00e9e"", ""Cas d\u2019ing\u00e9rence \u00e9trang\u00e8re via le financement de partis politiques""]",https://www.europarl.europa.eu/news/fr/press-room/20191007IPR63550/lutte-de-l-ue-contre-la-desinformation-et-l-ingerence-electorale-etrangere
2020: maintien du financement au Royaume-Uni en cas de Brexit sans accord,"[""2019/0186(APP)"", ""2019/0187(COD)"", ""2019/0183(COD)""]","[""Projet visant \u00e0 garantir les paiements aux b\u00e9n\u00e9ficiaires britanniques tels que les universit\u00e9s, les communaut\u00e9s locales, les agriculteurs et les \u00e9tudiants Erasmus"", ""Une d\u00e9cision subordonn\u00e9e au versement par le Royaume-Uni de sa part au budget de l\u2019UE""]",https://www.europarl.europa.eu/news/fr/press-room/20191017IPR64566/2020-maintien-du-financement-au-royaume-uni-en-cas-de-brexit-sans-accord
L’UE doit mieux lutter contre l’ingérence étrangère et la désinformation,"[""2020/2268(INI)""]","[""Des pays malveillants et autoritaires, comme la Russie et la Chine, manipulent l\u2019information pour d\u00e9stabiliser la d\u00e9mocratie europ\u00e9enne"", ""La grande majorit\u00e9 des citoyens et des gouvernements europ\u00e9ens ne sont pas conscients de la menace que repr\u00e9sentent certains acteurs \u00e9trangers"", ""Les d\u00e9put\u00e9s ont demand\u00e9 des sanctions contre les ing\u00e9rences \u00e9trang\u00e8res et les campagnes de d\u00e9sinformation"", ""Envisager de r\u00e9voquer les licences des organisations qui diffusent de la propagande d\u2019\u00c9tat \u00e9trang\u00e8re""]",https://www.europarl.europa.eu/news/fr/press-room/20220304IPR24790/l-ue-doit-mieux-lutter-contre-l-ingerence-etrangere-et-la-desinformation
"Création de commissions spéciales, d’enquête et d’une sous-commission permanente","[""2020/2682(RSO"", ""2020/2684(RSO"", ""2020/2683(RSO"", ""2020/2681(RSO"", ""2020/2690(RSO)""]","[""Commissions sp\u00e9ciales sur la lutte contre le cancer, l\u2019intelligence artificielle et l\u2019ing\u00e9rence \u00e9trang\u00e8re, notamment la d\u00e9sinformation"", ""Sous-commission permanente charg\u00e9e d\u2019examiner les questions fiscales, sous la responsabilit\u00e9 de la commission des affaires \u00e9conomiques et mon\u00e9taires"", ""Commission d\u2019enqu\u00eate en charge d\u2019examiner les infractions en mati\u00e8re de transport d\u2019animaux""]",https://www.europarl.europa.eu/news/fr/press-room/20200615IPR81228/creation-de-commissions-speciales-d-enquete-et-d-une-sous-commission-permanente
Soutien aux travailleurs perdant leur emploi en cas de Brexit sans accord,"[""2019/0180(COD)""]","[""Aide urgente afin d\u2019aider les travailleurs et les ind\u00e9pendants dans l\u2019UE-27"", ""Le Fonds europ\u00e9en d\u2019ajustement \u00e0 la mondialisation (FEM) aide les travailleurs \u00e0 mettre \u00e0 jour leurs comp\u00e9tences et \u00e0 trouver un nouvel emploi""]",https://www.europarl.europa.eu/news/fr/press-room/20191017IPR64567/soutien-aux-travailleurs-perdant-leur-emploi-en-cas-de-brexit-sans-accord
Les députés condamnent la violente répression des manifestations en Iran,"[""2019/2993(RSP)""]","[""Au moins 304 personnes ont perdu la vie selon Amnesty International"", ""Les troubles les plus importants en Iran en 40 ans"", ""La fermeture de l\u2019acc\u00e8s internet aux r\u00e9seaux mondiaux est une violation de la libert\u00e9 d'expression"", ""Appel \u00e0 la lib\u00e9ration imm\u00e9diate de la laur\u00e9ate du Prix Sakharov Nasrin Sotoudeh""]",https://www.europarl.europa.eu/news/fr/press-room/20191217IPR69210/les-deputes-condamnent-la-violente-repression-des-manifestations-en-iran
